id,description,alternativeDescription,city,province,cap,address,phone,piva,notes,mail,sector_id
2378,"PROVINCIA S.GIOVANNA ANTIDA DELLE SUORE DELLA CARITA'",,NULL,NULL,,,,NULL,PROVINCIASGA@PEC.PROVINCIAGIOVANNANTIDA.IT,PROVINCIASGA@PEC.PROVINCIAGIOVANNANTIDA.IT,18
2379,"PULISERIN S.R.L.S.",,NULL,NULL,,"VIA DI VALLELUNGA 5   00068 MORLUPO RM",,NULL,puliserinsrls@legalmail.it,puliserinsrls@legalmail.it,8
2380,"PULISERVICE ITALIA S.R.L.S.",,NULL,NULL,,"VIA PIETRO DELLA VALLE 00193 ROMA RM",0633225181,NULL,PULISERVICEITALIASRLS@LEGALMAIL.IT,PULISERVICEITALIASRLS@LEGALMAIL.IT,3
2381,"PUMA EUROPE GMBH",,NULL,NULL,,"VIA ROGGIA BARTOLOMEA, 9
20090 ASSAGO (MI)",,NULL,puma@unapec.it,puma@unapec.it,1
2382,"Q EXCELSIOR ITALIA SRL",,NULL,NULL,,"P.ZZA DUCA D'AOSTA,9
20124 MILANO (mi)",,NULL,Q.EXCELSIORITALIA.SRL@LEGALMAIL.IT,Q.EXCELSIORITALIA.SRL@LEGALMAIL.IT,8
2383,QUAS,,NULL,NULL,,,,NULL,INFO@QUAS.IT,INFO@QUAS.IT,1
2384,"RANGERS S.R.L.",,NULL,NULL,,"VIA LUCA DELLA ROBBIA,25
36016 THIENE (VI)",,NULL,VIGILANZARANGERS@LEGALMAIL.IT,VIGILANZARANGERS@LEGALMAIL.IT,17
2385,"RE ITALY 21 SRL",,NULL,NULL,,,,NULL,LANGOBARDRE@LEGALMAIL.IT,LANGOBARDRE@LEGALMAIL.IT,10
2386,"RE ITALY S.R.L.",,NULL,NULL,,,,NULL,reitalysrl@legalmail.it,reitalysrl@legalmail.it,10
2387,"REAR S.C.",,NULL,NULL,,,,,REAR-SC@PEC.IT,REAR-SC@PEC.IT,15
2388,"REGINAL S.R.L.",,NULL,NULL,,,,NULL,REGINAL@PEC.IT,REGINAL@PEC.IT,16
2389,"REGIS HOTELS  MANAGEMENT ITALY SRL",,NULL,NULL,,,,NULL,srgmanagement@legalmail.it,srgmanagement@legalmail.it,8
2390,REKEEP,,NULL,NULL,,,,NULL,rekeep@pec.rekeep.com,rekeep@pec.rekeep.com,1
2391,"RETAIL GROUP S.P.A.",,NULL,NULL,,"VIA G.GIOLITTI
00185 ROMA RM",,NULL,COMUNICAZIONI@PEC.RETAILGROUP.IT,COMUNICAZIONI@PEC.RETAILGROUP.IT,10
2392,"RETAIL ITALIA NETWORK S.R.L.",,NULL,NULL,,"C.SO PORTA VITTORIA16
20122MILANO MI",,NULL,RETAILITALIANETWORK@LEGALMAIL.IT,RETAILITALIANETWORK@LEGALMAIL.IT,10
2393,"RICOS S.R.L.",,NULL,NULL,,"VIA NAZIONALE 4  
88064 CHIARAVALLE (CZ)",,NULL,RICOSSRL@ARUBAPEC.IT,RICOSSRL@ARUBAPEC.IT,13
2394,"RISORSE PER ROMA S.P.A.",,NULL,NULL,,"P.LE DEGLI ARCHIVI 34-36
00144 ROMA",0683199100,NULL,presidente@pec.rpr-spa.it,presidente@pec.rpr-spa.it,10
2395,"RISORSE S.R.L.",,NULL,NULL,,,,NULL,RISORSEPEC@LEGALMAIL.IT,RISORSEPEC@LEGALMAIL.IT,10
2396,"ROAD HOUSE GRILL ROMA S.R.L.",,NULL,NULL,,"P.ZZA ANTONIO MEUCCI 5  00053 FIUMICINO RM",,NULL,roadhouse.roma@pec.roadhousegrill.it,roadhouse.roma@pec.roadhousegrill.it,16
2397,"ROADHOUSE S.P.A",,"Castelvetro Di Modena",Modena,,"VIA MODENA 53",,,,comunicazioni@pec.roadhouse.it,16
2398,"ROCCO FORTE E FAMILY ROME SPA",,NULL,NULL,,"VIA DEL BABUINO 9
ROMA (RM) 00187","06 328881",NULL,rfhrome@pec.it,rfhrome@pec.it,8
2399,"ROCO HOSPITALITY GROUP S.R.L.",,NULL,NULL,,,,NULL,rhg@legalmail.it,rhg@legalmail.it,1
2400,"ROMA CONVENTION GROUP S.p.A.",,NULL,NULL,,"VIA DELLA PITTURA, 5000144 ROMA (RM)",,,,CONGRESSIROMA@PEC.IT,1
2401,"ROMA UNION SECURITY S.R.L.",,NULL,NULL,,,,,ROMAUNIONSECURITY@LEGALMAIL.IT,ROMAUNIONSECURITY@LEGALMAIL.IT,17
2402,"ROMA VIA DEL CORSO S.R.L.",,NULL,NULL,,"FORO BONAPARTE, 51
20121 MILANO (MI)",,NULL,,NULL,16
2403,"ROMAN 14 S.R.L.",,NULL,NULL,,"VIA AMENDOLA N. 2/4
00045 GENZANO ROMA",,NULL,ROMAN14@PEC.IT,ROMAN14@PEC.IT,10
2404,"ROMANA DIESEL SPA",,NULL,NULL,,"Via Collatina, 456
 00155 Roma (RM)",,NULL,romanadiesel@pec.it,romanadiesel@pec.it,10
2405,"ROSATI AUTO S.R.L.",,NULL,NULL,,,,NULL,rosatiauto@pec.it,rosatiauto@pec.it,10
2406,"ROSCIOLI E PALLAVICINI SRL",,NULL,NULL,,,,NULL,ROSCIOLIEPALLAVICINI@LEGALMAIL.IT,ROSCIOLIEPALLAVICINI@LEGALMAIL.IT,8
2407,"ROYAL SAS DI DEZI E C.",,NULL,NULL,,"VIA IV NOVEMBRE 5   TARQUINIA VT",,NULL,ROYALSAS@LEGALPEC.ME,ROYALSAS@LEGALPEC.ME,3
2408,"RUBIC S.R.L.",,NULL,NULL,,"Piazzale Di Porta Pia 116
Roma (RM)",,NULL,rubic@legalmail.it,rubic@legalmail.it,10
2409,"RUSSOTTI GESTIONI HOTELS SPA",,NULL,NULL,,,,NULL,COMUNICAZIONI@PEC.RUSSOTTFINANCE.COM,COMUNICAZIONI@PEC.RUSSOTTFINANCE.COM,8
2410,"S GAMES S.R.L.",,NULL,NULL,,"VIA ENRICO FERMI 11
MENTANA (RM)",,NULL,SGAMES@PEC.IT,SGAMES@PEC.IT,10
2411,"S.C.R. GROUP SRL",,NULL,NULL,,"VIA G.ROVANI 7 20123 MILANO MI",,,SCRGROUPSRL@PECIMPRESE.IT,SCRGROUPSRL@PECIMPRESE.IT,18
2412,"S.E.K.I. SRL",,NULL,NULL,,"VIA CALDERA 21 (MI)",,NULL,seki@pec.it,seki@pec.it,10
2413,S.I.A.G.A.,,NULL,NULL,,"VIA VITTORIO VENETO,169
00187 ROMA (RM)",,NULL,ROSEGARDENPALACE@PEC.IT,ROSEGARDENPALACE@PEC.IT,8
2414,"S.I.M.I. - SOCIETA' ITALIANA MEDICINA INTERNA",,NULL,NULL,,,,NULL,AMMINISTRAZIONESIMI@P.CERT.POSTECERT.IT,AMMINISTRAZIONESIMI@P.CERT.POSTECERT.IT,10
2415,"S.ITALIA SRL",,NULL,NULL,,"VIA DELLE ANTILLE
POMEZIA 00126 RM",,NULL,S.ITALIA@LEGALMAIL.IT,S.ITALIA@LEGALMAIL.IT,13
2416,"SA.MA. S.R.L.",,NULL,NULL,,"VIA DI TOR BELLA MONACA, 353
00133 ROMA (RM)",,NULL,sama67@arubapec.it,sama67@arubapec.it,16
2417,"SABA ITALIA S.P.A.",,NULL,NULL,,,,NULL,SABAITALIA@PEC.SABAIT.IT,SABAITALIA@PEC.SABAIT.IT,10
2418,"SAFETY KLEEN ITALIA S.P.A.",,NULL,NULL,,,,NULL,skitalia@pec.safetykleen.it,skitalia@pec.safetykleen.it,10
2419,"SALESFORCE.COM ITALY S.R.L.",,NULL,NULL,,,,NULL,SALESFORCECOMITALYSRL@LEGALMAIL.IT,SALESFORCECOMITALYSRL@LEGALMAIL.IT,10
2420,"SALVATORE FERRAGAMO",,NULL,NULL,,"VIA TORNABUONI,250123 FIRENZE",,,,SALVATORE.FERRAGAMO@LEGALMAIL.IT,1
2421,"SALVATORE NALDI GROUP S.N.G. SRL",,NULL,NULL,,"VIA SAN GIACOMO,32
80133 NAPOLI (NA)",,NULL,salvatorenaldigroupsrl@legalmail.it,salvatorenaldigroupsrl@legalmail.it,8
2422,"SAMSIC ITALIA S.P.A.",,NULL,NULL,,,,NULL,SAMSICITALIA@LEGALMAIL.IT,SAMSICITALIA@LEGALMAIL.IT,3
2423,"SAN GIORGIO S.R.L.",,NULL,NULL,,"VIA DI SAPONARA 220 ACILIA (RM)",,NULL,sangiorgiosrl2019@legalmail.it,sangiorgiosrl2019@legalmail.it,10
2424,SANIMPRESA,,NULL,NULL,,,,NULL,SANIMPRESA@PEC.IT,SANIMPRESA@PEC.IT,10
2425,"SANITERCOOP SOC.COOP. SOCIALE",,NULL,NULL,,,,NULL,SANITARCOOP@LEGALMAIL.IT,SANITARCOOP@LEGALMAIL.IT,3
2426,"SAPIENZA INNOVAZIONE S.R.L.",,NULL,NULL,,"VIALE REGINA ELENA 291   00166 ROMA RM",,NULL,SAPIENZAINNOVAZIONE@PEC.IT,SAPIENZAINNOVAZIONE@PEC.IT,10
2427,"SAVE THE CHILDREN ITALIA - ETS",,NULL,NULL,,"VIA VOLTURNO,5800185 ROMA (RM)",,,hra.savethechildren@postecert.it,legal.savethechildren@postecert.it,1
2428,"SCHWABE PHARMA ITALIA",,NULL,NULL,,"VIA SILVIO MENESTRINA 1 39044 
EGNA BZ",,NULL,SCHWABE@PEC.IT,SCHWABE@PEC.IT,11
2429,"SECURITAS METRONOTTE S.R.L.",,Roma,Roma,,,,,SECURITAS.METRONOTTE@PEC.IT,SECURITAS.METRONOTTE@PEC.IT,17
2430,"SECURITAS METRONOTTE S.r.l. (Non Armata )",,NULL,NULL,,,,,,,15
2431,"SECURITAS VIGILANZA SRL",,NULL,NULL,,"VIA DI TORRE SANT'ANASTASIA  00134 ROMA RM",,NULL,SECURITAS.VIGILANZA@LEGALMAIL.IT,SECURITAS.VIGILANZA@LEGALMAIL.IT,17
2432,"SECURITY SERVICE S.RL. (SERVIZI FIDUCIARI)",,NULL,NULL,,,,,,,15
2433,"SECURITY SERVICE SRL",,Roma,Roma,00147,"Via Cristoforo Colombo, 163 ",,,,security-service@pec.security-service.it,17
2434,"SECURITY.IT S.R.L.",,"San Cesareo",Roma,00030,"VIA PRUSST SNC",06232514,,TRAVISSPA@LEGALMAIL.IT,TRAVISSPA@LEGALMAIL.IT,17
2435,"SECURPOOL S.R.L.",,NULL,NULL,,"STRADA ORTANA VECCHIA SNC NARNI , TERNI TR",07441923612,NULL,SECURPOOLSRL@INVIAPEC.IT,SECURPOOLSRL@INVIAPEC.IT,17
2436,"SEGESTA LATINA S.P.A.",,NULL,NULL,,,,NULL,segestalatina@cdcsangiuseppe.com,segestalatina@cdcsangiuseppe.com,10
2437,"SEGIT SRL",,NULL,NULL,,,,NULL,SEGIT@LEGALMAIL.IT,SEGIT@LEGALMAIL.IT,10
2438,"SEPHORA ITALIA S.P.A.",,Milano,Milano,,"Piazza Vetra 17",065574220,,,sephoraitalia@legalmail.it,1
2439,"SERENISSIMA RISTORAZIONE S.P.A.",,NULL,NULL,,"VIA DELLA SCIENZA, 26
36100 VICENZA (VI)",,NULL,serenissimapersonale@pec.it,serenissimapersonale@pec.it,13
2440,"SERVIZI IN COMUNE S.P.A.",,Pomezia,Roma,,,,,pec@pec.serviziincomune.com,pec@pec.serviziincomune.com,18
2441,"SERVIZI IN RETE 2001 SRL",,NULL,NULL,,"VIA LEOPOLDO SERRA, 32
00153 ROMA (RM)",,NULL,SERVIZIINRETE2001@PEC.TABACCAI.IT,SERVIZIINRETE2001@PEC.TABACCAI.IT,1
2442,"SERVIZI INTEGRATI SRL",,Roma,Roma,00187,"VIA SISTINA,121",,,SERVIZI-INTEGRATI@CERT-POSTA.IT,SERVIZI-INTEGRATI@CERT-POSTA.IT,13
2443,"SEVITALIA SICUREZZA S.R.L.",,NULL,NULL,,"Via degli Orti Flaviani, 400147 Roma",065180750,,sevitaliasicurezza@legalmail.it,sevitaliasicurezza@legalmail.it,17
2444,"SEVITALIA SICUREZZA SRL (RECEPTION)",,NULL,NULL,,"VIS DEGLI ORTI FLAVIANI 400147 ROMA",,,SEVITALIASICUREZZA@LEGALMAIL.IT,SEVITALIASICUREZZA@LEGALMAIL.IT,15
2445,"SG FAST FOOD  S.R.L.",,NULL,NULL,,"Via Casilina, 1883
00133 Roma",,NULL,sgfastfoodsrl@pec.it,sgfastfoodsrl@pec.it,16
2446,"SG LOGISTICS SRL",,NULL,NULL,,"VIA FOGLIANO 10  00199 ROMA RM (SEDE)",,NULL,SGLOGISTICSSRL@LEGALMAIL.IT,SGLOGISTICSSRL@LEGALMAIL.IT,10
2447,"SHOES E BAGS COLLECTION SRLS",,NULL,NULL,,,,NULL,SHOESEBAGSCOLLECTION@PEC.IT,SHOESEBAGSCOLLECTION@PEC.IT,10
2448,"SICURITALIA SERVIZI DI SICUREZZA SPA",,NULL,NULL,,,,,,SICURITALIA.SDS@LEGALMAIL.IT,15
2449,"SICURITALIA SERVIZI FIDUCIARI SOC.COOP.",,NULL,NULL,,"Via Martino Anzi,8
22100 Como (CO)",,NULL,SICURITALIASF@LEGALMAIL.IT,SICURITALIASF@LEGALMAIL.IT,15
2450,"SICURITALIA IVRI SPA",,Como,Como,"22100 ","VIA BELVEDERE, 2/A",,,,sicuritalia@legalmail.it,17
2451,"SIENA DISTRIBUZIONE SRL ",,Civitavecchia,Roma,,,,,sienadistribuzione@pec.it,sienadistribuzione@pec.it,10
2452,"SILICONDEV S.P.A.",,NULL,NULL,,"Via Andrea Millevoi 10
00178 Roma",,NULL,silicondevspa@legalmail.it,silicondevspa@legalmail.it,1
2453,"SIN S.P.A.",,NULL,NULL,,,,NULL,PROTOCOLLO.SIN@PEC.IT,PROTOCOLLO.SIN@PEC.IT,10
2454,"SIRIO S.P.A.",,NULL,NULL,,"Via Filippo Re, 43/45
48124 Ravenna (RA)",,NULL,SIRIOBAR@LEGALMAIL.IT,SIRIOBAR@LEGALMAIL.IT,16
2455,"SISTEMI DI SICUREZZA S.R.L.",,NULL,NULL,,"Via Bassano, 180059 Torre del Greco (NA)",,,sistemidisicurezza@pec.it,sistemidisicurezza@pec.it,15
2456,"SKS 365 MALTA LIMITED",,NULL,NULL,,,,NULL,sks365group@legalmail.it,sks365group@legalmail.it,10
2457,"SM ITALIA SRL",,NULL,NULL,,"Strada Massimo D Azeglio 21 
Parma (PR)",,NULL,sm.pec@legalmail.it,sm.pec@legalmail.it,10
2458,"SMILE ROMA MARKET S.R.L.",,NULL,NULL,,"VIA IGINO LEGA
00189 ROMA (RM)",,NULL,SMILEROMA.MARKET@LEGALMAIL.IT,SMILEROMA.MARKET@LEGALMAIL.IT,16
2459,"SO.CHI.MA S.R.L. ",,NULL,NULL,,,,,sochima@legalmail.it,sochima@legalmail.it,10
2460,"SOC.COOP.ARTWARE SERVICES",,NULL,NULL,,,,NULL,ARTWARESERVICES@PEC.BUFFETTI.IT,ARTWARESERVICES@PEC.BUFFETTI.IT,18
2461,"SOCCER SRL",,Roma,Roma,00187,"Via Emilia 47",066786514,,,SOCCER@PEC.IT,1
2462,"SOCIETA' COOPERATIVA SOCIALE M.MONTESSORI",,NULL,NULL,,"VIA TERNI 109   01033 
C.CASTELLANA VT",,NULL,MARIAMONTESSORISOCIETACOOPERATIVASOCIALE@PEC.IT,MARIAMONTESSORISOCIETACOOPERATIVASOCIALE@PEC.IT,18
2463,"SOCIETA' INTERNAZIONALE NUOVI ALBERGHI PER AZIONI-S.I.N.A. S.P.A.",,NULL,NULL,,"Via II Prato n°42
50123 Firenze (FI)",,NULL,sinahotels@pec.sinahotels.com,sinahotels@pec.sinahotels.com,8
2464,"SOCIO SANITARIA POMEZIA SRL",,NULL,NULL,,"S.S. 148, VIA PONTINA KM 31.400",,NULL,pec@pec.sociosanitaria.it,pec@pec.sociosanitaria.it,3
2465,"SODEXO ITALIA SPA",,Fiumicino,Roma,"00054 ","Via delle Arti, 151",,,sodexohrlabourelations@legalmail.it,sodexodirezamm@legalmail.it,13
2466,"SOGEST SRL",,NULL,NULL,,"VIA CARMELO BENE,70/72
00139 ROMA (RM)",,NULL,SOGEST_SRL1@LEGALMAIL.IT,SOGEST_SRL1@LEGALMAIL.IT,3
2467,"SOLIDARIETA' E LAVORO SOC. COOP. A R.L.",,NULL,NULL,,"Via Orazio Raimondo, 33
 00173 Roma (RM)",0672672393,NULL,solidarietaelavoroscarl@pec.it,solidarietaelavoroscarl@pec.it,13
2468,"SONEPAR ITALIA S.P.A.",,NULL,NULL,,"RIVIERA MAESTRI DEL LAVORO 24 PADOVA (PD) 35127","049 8292111",,soneparitalia@legalmail.it,soneparitalia@legalmail.it,1
2469,"SOTUR SRL",,NULL,NULL,,"VIA MONTE DELLE GIOIE,13
00199 ROMA",,NULL,DIREZIONE@PEC.SUBITOVIAGGI.IT,DIREZIONE@PEC.SUBITOVIAGGI.IT,1
2470,"SPORT FASHION SERVICE S.R.L.",,NULL,NULL,,"VIA MESSICO 12 
00071 POMEZIA RM",,NULL,SPORTFASHIONSERVICE@PEC.IT,SPORTFASHIONSERVICE@PEC.IT,10
2471,"SPRING 2016 S.R.L.S.",,NULL,NULL,,,,NULL,spring2016@legalmail.it,spring2016@legalmail.it,16
2472,"STARHOTELS SPA",,NULL,NULL,,"Via Filippo Turati 29 
Milano (MI)",05536921,NULL,starhotels@legalmail.it,starhotels@legalmail.it,8
2473,"STEDA S.R.L.",,NULL,NULL,,"Via Castel San Giorgio, 215
00054 Fiumicino (RM)",,NULL,STEDASRL1@LEGALMAIL.IT,STEDASRL1@LEGALMAIL.IT,10
2474,"STELAC S.R.L.",,NULL,NULL,,"Via Formia,1 
00177 Roma (RM)",,NULL,stelacsrl@legalmail.it,stelacsrl@legalmail.it,10
2475,"STILE LIBERO SOC.COOP. SOCIALE",,NULL,NULL,,"VIA VECCHIA FURIA 03011 ALATRI FR",,NULL,STILE.LIBERO@LEGALMAIL.IT,STILE.LIBERO@LEGALMAIL.IT,18
2476,"STM ITALIA C&O S.P.A.",,Roma,Roma,00124,"Viale Alessandro Magno, 146",065073327,,,STMITALIACO@PEC.IT,10
2477,"STROILI ORO",,NULL,NULL,,,,NULL,STROILIORO@LEGALMAIL.IT,STROILIORO@LEGALMAIL.IT,10
2478,"STRYKER ITALIA S.R.L.",,NULL,NULL,,,,NULL,stryker.pec@strykeritalia.legalmail.it,stryker.pec@strykeritalia.legalmail.it,1
2479,"STUDIO LEGALE E TRIBUTARIO - S.L.T.",,NULL,NULL,,"Via Po,28
00100 Roma (RM)",,NULL,,NULL,10
2480,"STUDIO MAJOLINO",,NULL,NULL,,"P.ZZA VERBANO 16
00199 ROMA (RM)",,NULL,A.MAJOLINO@CONSULENTIDELLAVOROPEC.IT,A.MAJOLINO@CONSULENTIDELLAVOROPEC.IT,10
2481,"SUPERFRUTTA 2000 SRL",,NULL,NULL,,"VIA SAN ROCCO 27   00412 
CISTERNA DI LATINA (LT)",,NULL,SUPERFRUTTASRL@PEC.IT,SUPERFRUTTASRL@PEC.IT,10
2482,"SUPERPOL VIGILANZA S.R.L.",,NULL,NULL,,,,,,superpolvigilanzasrl@legalmail.it,17
2483,"SYSTEM DATA CENTER",,NULL,NULL,,,,NULL,SYSTEMDATACENTER@PEC.IT,SYSTEMDATACENTER@PEC.IT,1
2484,"TARMA S.R.L.",,NULL,NULL,,,,,TARMASRL@LEGALMAIL.IT,TARMASRL@LEGALMAIL.IT,12
2485,"TEAM SERVICE SOC. CONSORTILE A R.L.",,NULL,NULL,,"Piazza Attilio Pecile, 4 00154 Roma (RM)",,,,teamserviceconsortile@pec.it,10
2486,"TECNO SERVICE CAMERE SCPA",,NULL,NULL,,,,NULL,DIREZIONE.TECNOSERVICECAMERE@LEGALMAIL.IT,DIREZIONE.TECNOSERVICECAMERE@LEGALMAIL.IT,10
2487,"TECNOMEETING S.R.L.",,NULL,NULL,,"VIA PIETRO ADAMOI 96  00168 ROMA RM",,NULL,AMMINISTRAZIONE@PEC.TECNOMEETING.IT,AMMINISTRAZIONE@PEC.TECNOMEETING.IT,10
2488,TELEBUNA,,NULL,NULL,,,,NULL,TELEBUNA@LEGALMAIL.IT,TELEBUNA@LEGALMAIL.IT,10
2489,"THC ITALIA SRL",,NULL,NULL,,,,NULL,THCITALIASRL@LEGALMAIL.IT,THCITALIASRL@LEGALMAIL.IT,10
2490,"TIGER ITALIA 1 S.R.L.",,Torino,Torino,10138,"Via Villar Focchiardo 5",,,,tigeritalia1@pec.tigeritalia.com,10
2491,"TITANO SERVIZI S.R.L.",,NULL,NULL,,,,NULL,TITANOSERVIZISRL@LEGALMAIL.IT,TITANOSERVIZISRL@LEGALMAIL.IT,3
2492,"TO MAKE FASHION GROUP S.R.L.",,NULL,NULL,,,,NULL,TOMAKEFASHIONGROUPSRL1@LEGALMAIL.IT,TOMAKEFASHIONGROUPSRL1@LEGALMAIL.IT,10
2493,"TOP SERVICE SRL",,NULL,NULL,,"VIA TIBURTINA 547  
00159 ROMA ROMA",,NULL,TOPSERVICESRL@LAMIAPEC.IT,TOPSERVICESRL@LAMIAPEC.IT,10
2494,"TRADICA S.R.L.",,NULL,NULL,,"VIA OSTIENSE 361/367",,NULL,tradica@pecpvs.it,tradica@pecpvs.it,10
2495,"TRAVELPORT ITALIA S.R.L.",,NULL,NULL,,,,NULL,travelportitalia@namirialpec.it,travelportitalia@namirialpec.it,10
2496,"TRIUMPH INTERNATIONAL ROME S.p.A.",,NULL,NULL,,"VIA SAN BOVIO, 3
SEGRATE (MI)",,NULL,DG-TRIUMPH@LEGALMAIL.IT,DG-TRIUMPH@LEGALMAIL.IT,1
2497,"UDISENS SRL",,NULL,NULL,,"VIA DELLE SETTE CHIESE, 233
00147 ROMA (RM)",,NULL,RMXX.UDISENS@INTERFREEPEC.IT,RMXX.UDISENS@INTERFREEPEC.IT,1
2498,"UIL DI ROMA E DEL LAZIO",,NULL,NULL,,"Via Cavour, 108
00184 Roma",,NULL,ammlazio@uillazio.it,ammlazio@uillazio.it,1
2499,"UIL RUA",,NULL,NULL,,"VIA UMBRIA 15 00187 ROMA RM",,NULL,FEDERAZIONE.UILSCUOLARUA@PEC.UILRUA.IT,FEDERAZIONE.UILSCUOLARUA@PEC.UILRUA.IT,10
2500,UILTEMP,,NULL,NULL,,"VIA LUCULLO, 6
ROMA",,NULL,,NULL,10
2501,"UILTEMP LAZIO",,NULL,NULL,,,,NULL,,NULL,10
2502,"UILTuCS DI ROMA E LAZIO",,Roma,Roma,00184,"Via Cavour, 14700184 Roma",064880910,,,posta@uiltucsromaelazio.it,1
2503,UIM,,NULL,NULL,,,,NULL,,NULL,1
2504,"UNICOOP TIRRENO SOC. COOP.",,NULL,NULL,,"Strada Statale Aurelia Km 237 snc
Frazione: Riotorto Piombino (LI)",056524111,NULL,UNICOOPTIRRENOSC@LEGALMAIL.IT,UNICOOPTIRRENOSC@LEGALMAIL.IT,10
2505,"UNIEURO S.P.A.",,Forli',ForlÃ¬-Cesena,,"Via Schiapparelli, 31",,,,ufficiopaghe@pec.sgmdistribuzione.it,10
2506,"UNIONE ITALIANA DEL LAVORO- UIL",,NULL,NULL,,"VIA LUCULLO,6
00187 ROMA (RM)",0647531,NULL,organizzazione@pecert.uil.it,organizzazione@pecert.uil.it,1
2507,"UNIVERSITA' AGRARIA CIVITAVECCHIA",,NULL,NULL,,,,NULL,AGRARIACIVITAVECCHIA@PEC.IT,AGRARIACIVITAVECCHIA@PEC.IT,10
2508,"UNO S.R.L.",,NULL,NULL,,"VIA ANTONIO BOSIO
00161 ROMA RM",,NULL,unosrl11@legalmail.it,unosrl11@legalmail.it,10
2509,"URBE VIGILANZA S.P.A.",,Roma,Roma,00155,"VIA ANDREA NOALE",,,,COSMOPOLSECURITY@PEC.COSMOPOLSECURITY.IT,17
2510,"URBE VIGILANZA S.P.A. (FIDUCIARI)",,Roma,Roma,00155,"VIA ANDREA NOALE",,,,COSMOPOLSECURITY@PEC.COSMOPOLSECURITY.IT,15
2511,URTISTI,,Roma,Roma,,,,,,,1
2512,"VALE S.R.L.",,NULL,NULL,,,,NULL,VALE1SRL@LEGALMAIL.IT,VALE1SRL@LEGALMAIL.IT,10
2513,"VALENTINO S.P.A.",,Milano,Milano,,"VIA TURATI, 16",,,VALENTINOSPA@CERT.VALENTINO.COM,VALENTINOSPA@CERT.VALENTINO.COM,10
2514,"VALUES ON S.R.L.",,NULL,NULL,,"VIA FRANCESCO GENTILE 135
00173 ROMA RM",,NULL,claudio.castagna@pec.valueson.it,claudio.castagna@pec.valueson.it,10
2515,"VARP SRL",,NULL,NULL,,"LUNGOMARE PAOLO TOSCANELLI 
OSTIA 00122 ROMA",,NULL,VARPSRL@PEC.IT,VARPSRL@PEC.IT,16
2516,"VELLETRI SERVIZI S.P.A.",,NULL,NULL,,"Via dei Volsci, 57 
00049  Velletri (RM)",069631533,NULL,velletriservizi@legalmail.it,velletriservizi@legalmail.it,11
2517,"VELOX SERVIZI S.R.L.",,NULL,NULL,,"V.LE DEL LAVORO 33 VERONA VR",,NULL,VELOXSERVIZI@REGISTERPEC.IT,VELOXSERVIZI@REGISTERPEC.IT,8
2518,"VENERE S.R.L.",,NULL,NULL,,"VIA DEI SAMPIERI 92
00148 ROMA RM",,NULL,VENERE@PECPVS.IT,VENERE@PECPVS.IT,10
2519,"VERATOUR S.P.A.",,NULL,NULL,,,,NULL,PERSONALE@PEC.VERATOUR.IT,PERSONALE@PEC.VERATOUR.IT,10
2520,"VERISURE ITALY S.R.L.",,NULL,NULL,,"Viale dell'umanesimo 36A
Roma (RM)",,NULL,verisure@legalmail.it,verisure@legalmail.it,17
2521,"VIASKY S.R.L.",,NULL,NULL,,"VIA BARBERINI 29
00187 ROMA (RM)",,NULL,POSTACERT@PEC.VIASKY.IT,POSTACERT@PEC.VIASKY.IT,10
2522,"VIRGIN ACTIVE ITALIA SPA",,NULL,NULL,,,,NULL,VIRGINACTIVE@POSTECERT.IT,VIRGINACTIVE@POSTECERT.IT,10
2523,"VIVENDA  SPA",,NULL,NULL,,"Via Francesco Antolisei, 25 00173 Roma (RM)",,NULL,vivendaspa@pec.it,vivendaspa@pec.it,13
2524,"WELFARE S.R.L.",,NULL,NULL,,"C.SO TRIESTE 27   00198 ROMA RM",,,,WELFARESRL@PEC.IT,16
2525,"WESTERN UNION RETAIL SERVICES ITALY  SRL",,NULL,NULL,,"VIA VIRGILIO MOROSO, 50
00146 ROMA (RM)",,NULL,WURSISRL@LEGALMAIL.IT,WURSISRL@LEGALMAIL.IT,1
2526,"WEX EUROPE SERVICES S.r.l.",,NULL,NULL,,"VIA CARLO VENEZIANI, 58
00148 ROMA(RM)",,NULL,wexeuropeservices@legalmail.it,wexeuropeservices@legalmail.it,10
2527,"YAZZYCAMBEN SRL",,NULL,NULL,,,,NULL,yazzycamben1@legalmail.it,yazzycamben1@legalmail.it,16
2528,"YES HOTEL S.R.L.",,NULL,NULL,,,,NULL,YESHOTELSRL@PEC.IT,YESHOTELSRL@PEC.IT,8
2529,"YOUR SALES S.R.L.",,NULL,NULL,,"VIALE DEL CAMPO BOARIO 56/D  00154 ROMA RM",,NULL,YOURSALES@PEC.IT,YOURSALES@PEC.IT,10
2530,"ZENITH SERVICES GROUP S.P.A.",,Milano,Milano,,"VIA TORINO,2MILANO  (MI)",,,,zenithservicesgroupspa@pec.it,8
2531,"ZENZERO SOC.COOP.",,NULL,NULL,,"C.SO ITALIA 152     000012  GUIDONIA RM",,NULL,ZENZEROCOOP@PEC.IT,ZENZEROCOOP@PEC.IT,16
2532,"ZEROCENTO SPA",,NULL,NULL,,"VIA SILICELLA, 11
00169 ROMA (RM)",,NULL,zerocentospa@pec.it,zerocentospa@pec.it,1
